t	x	y	v
211	30.0	210.0	0.0	
211	30.0	210.0	0.0	
211	30.0	210.0	0.0	
211	30.0	199.33865287485636	4.60913886396621	
211	30.0	174.19687068918773	8.031543877242484	
211	30.0	210.0	0.0	
211	30.0	210.0	0.0	
211	30.0	210.0	0.0	
211	30.0	220.66134712514364	4.60913886396621	
211	30.0	245.80312931081227	8.031543877242484	
211	30.0	210.0	0.0	
211	30.0	210.0	0.0	
211	30.0	210.0	0.0	
211	40.663063833976175	210.0	4.609535561911	
211	65.81147204905574	210.0	8.034635435212444	
212	30.0	210.0	0.0	
212	30.0	210.0	0.0	
212	30.0	211.22386061117942	1.2238606111794184	
212	30.0	226.37350605737532	5.712158932231674	
212	30.0	254.45734376476256	8.65421445395029	
212	30.0	210.0	0.0	
212	30.0	210.0	0.0	
212	30.0	208.77613938882058	1.2238606111794184	
212	30.0	193.62649394262468	5.712158932231674	
212	30.0	165.54265623523744	8.65421445395029	
212	30.0	210.0	0.0	
212	30.0	210.0	0.0	
212	31.224063895407838	210.0	1.2240638954078376	
212	46.37558165727683	210.0	5.712517823300655	
212	74.46979703093653	210.0	8.658324981880801	
213	30.0	210.0	0.0	
213	30.0	210.0	0.0	
213	33.82439668397132	210.0	2.6003327885634855	
213	53.05065528641962	210.0	6.675073629142784	
213	83.6478078494664	210.0	9.178010818529875	
213	30.0	210.0	0.0	
213	30.0	210.0	0.0	
213	30.0	206.17602623239864	2.600113156421947	
213	30.0	186.95174127043055	6.674752672194135	
213	30.0	156.36990107397096	9.172755161266473	
213	30.0	210.0	0.0	
213	30.0	210.0	0.0	
213	30.0	213.82397376760136	2.600113156421947	
213	30.0	233.04825872956945	6.674752672194135	
213	30.0	263.630098926029	9.172755161266473	
214	30.0	210.0	0.0	
214	30.0	210.0	0.0	
214	30.0	202.2714842887849	3.9045419436137334	
214	30.0	179.4584280425162	7.493313227914332	
214	30.0	146.7683136279837	9.601587445987251	
214	30.0	210.0	0.0	
214	30.0	210.0	0.0	
214	37.729148064979896	210.0	3.904751381008576	
214	60.54442160792168	210.0	7.493766321502054	
214	93.25591803647467	210.0	9.608110187008263	
214	30.0	210.0	0.0	
214	30.0	210.0	0.0	
214	30.0	217.7285157112151	3.9045419436137334	
